Designator,Mid X,Mid Y,Rotation,Layer
C1,42.5,-32.0,180.0,top
C2,48.786102,-31.95389,180.0,top
C3,48.815561,-33.95389,180.0,top
C4,69.472282,-35.371535,180.0,top
C5,67.83,-28.9,0.0,top
D1,90.5,-26.5,180.0,top
D2,90.465451,-34.502571,180.0,top
D3,90.4,-44.9,180.0,top
D4,90.3,-53.0,180.0,top
D5,47.0,-67.9,180.0,top
D6,70.5,-86.5,270.0,top
D7,69.5,-37.8,180.0,top
J1,26.0,-55.96,90.0,top
J2,26.0,-72.96,90.0,top
J3,34.35,-33.9,0.0,top
J4,106.55,-96.085664,90.0,top
J5,106.55,-34.0,90.0,top
J6,106.55,-53.01,90.0,top
J7,56.0,-24.9,90.0,top
J8,106.55,-79.04,90.0,top
J9,26.0,-89.16,90.0,top
K1,77.5,-90.5,0.0,top
Q1,64.9,-88.2,0.0,top
R1,59.896323,-87.25482,0.0,top
R10,85.0,-48.0,180.0,top
R11,69.5,-41.0,180.0,top
R12,38.64087,-43.250933,0.0,top
R13,59.898715,-89.158455,180.0,top
R14,38.64087,-54.0,0.0,top
R2,90.5,-24.5,180.0,top
R3,90.5,-32.0,180.0,top
R4,90.4,-42.5,180.0,top
R5,90.3,-50.5,180.0,top
R6,42.0,-67.88,0.0,top
R7,90.490558,-29.0,180.0,top
R8,83.5,-29.0,180.0,top
R9,90.3,-48.0,180.0,top
SW1,47.0,-45.1,0.0,top
SW2,47.0,-55.9,0.0,top
U1,46.5,-26.5,0.0,top
U2,60.5,-35.0,0.0,top
Y1,50.4,-38.2,90.0,top
